#,Name,RA,Dec,RA (decimal),"RA (deg, dec)",Dec (decimal),Class,Hipparcos,Tycho,Average B/V mag,Teff, e_Teff,Log g,e_log g,log y,e_log y,Reference,E(B-V),e_E(B-V),AV,FUV (GALEX),e_FUV (GALEX),NUV (GALEX),e_NUV (GALEX),F (GSC),e_F (GSC),Bj (GSC),e_Bj (GSC),V (GSC),e_V (GSC),N (GSC),e_N (GSC),B (GSC),e_B (GSC),V (APASS),e_V (APASS),B (APASS),e_B (APASS),g (APASS),e_g (APASS),r (APASS),e_r (APASS),I (APASS),e_i (APASS),u (SDSS),e_u (SDSS),g (SDSS),e_g (SDSS),r (SDSS),e_r (SDSS),I (SDSS),e_i (SDSS),z (SDSS),e_z (SDSS),u (VST),e_u (VST),g (VST),e_g (VST),r (VST),e_r (VST),I (VST),e_i (VST),z (VST),e_z (VST),J (2MASS),e_J (2MASS),H (2MASS),e_H (2MASS),K (2MASS),e_K (2MASS),Y (UKIDSS),e_Y (UKIDSS),J (UKIDSS),e_J (UKIDSS),H (UKIDSS),e_H (UKIDSS),K (UKIDSS),e_K (UKIDSS),Z (VISTA),e_Z (VISTA),Y (VISTA),e_Y (VISTA),J (VISTA),e_J (VISTA),H (VISTA),e_H (VISTA),Ks (VISTA),e_Ks (VISTA),W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,PM_RA (SDSS),e_PM_RA (SDSS),PM_DEC (SDSS),e_PM_DEC (SDSS),PM_RA (UCAC4),e_PM_RA (UCAC4),PM_DEC (UCAC4),e_PM_DEC (UCAC4),PM_RA (PPMXL),e_PM_RA (PPMXL),PM_DEC (PPMXL),e_PM_DEC (PPMXL),PM_RA (USNO),e_PM_RA (USNO),PM_DEC (USNO),e_PM_DEC (USNO),PM_RA (APOP),e_PM_RA (APOP),PM_DEC (APOP),e_PM_DEC (APOP),PM_RA (URAT1),e_PM_RA (URAT1),PM_DEC (URAT1),e_PM_DEC (URAT1),PM_RA (SPM4),e_PM_RA (SPM4),PM_DEC (SPM4),e_PM_DEC (SPM4),CRTS DR2,SWASP,,,,,,,,,,,,,,,,
SDSSJ,211220.42+112955.4,21:12:20.42,11:29:55.4,21.205672,318.085083,11.498722,sdOB,,,18.1,,,,,,,,0.0892,0.0010,0.277,17.619,0.034,17.744,0.019,,,18.110,0.420,,,,,,,,,,,,,,,,,18.085,0.014,18.198,0.007,18.423,0.008,18.541,0.012,18.719,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.0,3.0,-18.0,3.0,,,,,-10.9,5.2,-17.9,5.2,-8.0,4.0,-16.0,4.0,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
GALEX,J211230.92-152410.37,21:12:30.92,-15:24:10.37,21.208589,318.128833,-15.402881,He-sdO,,,12.4,78990,6040,5.84,0.38,-0.05,0.29,Nemeth12,0.0824,0.0064,0.256,12.712,0.005,12.159,0.002,,,,,12.560,0.280,,,12.070,0.140,12.417,0.006,12.419,0.026,12.338,,12.498,,,,,,,,,,,,,,,,,,,,,,,,12.211,0.026,11.991,0.022,11.974,0.027,,,,,,,,,,,,,,,,,,,11.806,0.024,11.866,0.025,11.268,0.208,8.738,,,,,,-10.8,2.5,-6.5,1.7,-12.4,2.1,-9.3,2.2,-14.0,,-14.0,,,,,,,,,,,,,,saturated,not covered,,,,,,,,,,,,,,,,
PG,2110+001,21:13:18.38,00:17:39.04,21.221772,318.326583,0.294178,He-sdO,,,16.2,46900,,5.87,,1.37,,Nemethprep,0.1034,0.0066,0.320,15.393,0.010,15.605,0.007,16.440,0.390,16.130,0.390,16.540,0.300,16.710,0.400,15.850,0.390,16.453,0.117,16.257,0.090,16.227,0.037,16.516,0.126,,,15.788,0.006,16.110,0.004,16.520,0.005,16.833,0.006,17.116,0.013,,,,,,,,,,,,,,,,,16.784,0.011,16.894,0.020,16.912,0.043,17.062,0.067,,,,,16.845,0.013,16.943,0.030,17.063,0.056,,,,,,,,,-10.0,2.0,-9.0,2.0,3.8,12.8,-11.4,9.5,-9.9,5.6,-6.6,5.6,-12.0,1.0,-4.0,2.0,-8.3,1.3,-5.4,1.3,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,2110+127,21:13:21.04,12:57:09.79,21.222511,318.337667,12.952719,sdB+F,,,13.4,33700,1000,5.33,0.15,-2.40,0.10,Saffer94,0.0693,0.0021,0.215,12.813,0.006,13.225,0.005,12.490,0.420,12.860,0.410,12.870,0.380,12.590,0.460,15.430,0.370,12.914,0.040,13.106,0.053,12.966,0.045,12.872,0.034,12.957,0.069,,,,,,,,,,,,,,,,,,,,,12.293,0.023,12.070,0.023,12.016,0.023,,,,,,,,,,,,,,,,,,,12.004,0.024,12.041,0.024,12.119,0.241,9.428,,,,,,0.8,1.9,-4.2,2.0,5.5,1.0,-8.5,1.0,2.0,3.0,-10.0,2.0,,,,,,,,,,,,,saturated?,not covered,,,,,,,,,,,,,,,,
SDSSJ,211338.30-000940.7,21:13:38.30,-00:09:40.7,21.227306,318.409583,0.161306,sdOB,,,,,,,,,,,0.0901,0.0051,0.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
GALEX,J21136-2035,21:13:39.01,-20:35:12.49,21.227503,318.412542,-20.586803,sdB,,,14.6,,,,,,,,0.0378,0.0006,0.117,13.789,0.008,13.998,0.006,14.320,0.160,14.350,0.340,,,14.890,0.430,14.930,0.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.006,0.052,15.253,0.117,15.196,0.183,,,,,,,,,,,,,,,,,,,15.250,0.047,14.939,0.170,11.494,,8.388,,,,,,12.9,1.5,0.7,1.5,5.6,4.5,-4.2,4.5,6.0,1.0,,3.0,17.7,2.5,2.0,3.6,,,,,11.9,1.6,2.9,1.6,const,const,,,,,,,,,,,,,,,,
SDSSJ,211339.69+100640.4,21:13:39.69,10:06:40.4,21.227692,318.415375,10.111222,sdB+X,,,16.4,,,,,,,,0.0625,0.0039,0.194,,,,,,,16.400,0.420,,,,,,,16.393,0.124,16.549,0.087,16.542,0.016,16.492,0.058,16.030,,16.410,0.006,16.391,0.004,16.509,0.005,16.577,0.005,16.625,0.010,,,,,,,,,,,15.922,0.083,15.461,0.112,15.534,0.200,,,,,,,,,,,,,,,,,,,15.779,0.066,16.113,0.261,12.767,,9.021,,10.0,3.0,-7.0,3.0,,,,,12.4,4.4,-5.1,4.4,12.0,3.0,-4.0,1.0,,,,,-2.5,6.6,-17.2,6.6,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,211421.39+100411.4,21:14:21.39,10:04:11.4,21.239275,318.589125,10.069833,sdOB,,,17.4,36100,900,5.48,0.13,-2.50,0.30,Geier15,0.0569,0.0027,0.176,,,,,,,17.410,0.420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8,5.2,-2.6,5.2,,,,,,,,,,,,,,,,,blend,too faint,,,,,,,,,,,,,,,,
SDSSJ9/10,211423.98-001034.7,21:14:23.98,-00:10:34.7,21.239994,318.599917,0.176306,He-sdO,,,,54490,,6.30,,1.28,,Nemethprep,0.0818,0.0018,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,211425.02+005517.6,21:14:25.02,00:55:17.6,21.240283,318.604250,0.921556,sdOB,,,18.1,,,,,,,,0.1077,0.0083,0.334,17.905,0.039,17.841,0.020,18.370,0.380,18.090,0.360,18.580,0.400,18.130,0.410,17.860,0.350,,,,,,,,,,,17.890,0.012,18.075,0.006,18.444,0.008,18.708,0.011,18.923,0.034,,,,,,,,,,,,,,,,,18.696,0.062,18.754,0.110,18.493,0.172,,,,,,,18.762,0.066,18.827,0.161,18.997,0.325,,,,,,,,,-2.0,3.0,-8.0,3.0,,,,,2.6,5.6,-6.1,5.6,,,,,-4.9,2.2,-0.3,1.7,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
BPS,CS29501-54,21:16:02.56,-37:14:17.36,21.267378,319.010667,-37.238156,sdB,,,13.8,,,,,,,,0.0406,0.0013,0.126,13.037,0.008,13.424,0.003,13.970,0.370,13.720,0.240,,,14.200,0.370,,,13.922,0.027,13.762,0.025,13.761,0.010,14.146,0.012,14.565,0.278,,,,,,,,,,,,,,,,,,,,,14.455,0.027,14.607,0.054,14.597,0.088,,,,,,,,,,,,,,,,,,,14.772,0.036,14.988,0.100,12.320,,8.583,,,,,,3.6,1.2,9.2,1.1,1.8,9.7,15.0,9.7,,,,,15.6,2.4,-2.6,5.6,,,,,6.5,1.5,9.2,1.3,const,const,,,,,,,,,,,,,,,,
SDSSJ,211620.92+001850.7,21:16:20.92,00:18:50.7,21.272478,319.087167,0.314083,sdB,,,19.4,,,,,,,,0.0878,0.0022,0.272,18.900,0.060,19.096,0.045,19.530,0.390,19.540,0.330,,,,,19.470,0.320,,,,,,,,,,,19.271,0.024,19.300,0.010,19.623,0.016,19.794,0.023,20.045,0.117,,,,,,,,,,,,,,,,,19.541,0.142,,,,,,,,,,,19.487,0.122,19.380,0.273,,,,,,,,,,,4.0,3.0,-4.0,3.0,,,,,9.1,6.0,-3.4,6.0,8.0,1.0,,5.0,13.3,6.2,-0.7,2.4,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,211651.96-003328.5,21:16:51.96,-00:33:28.5,21.281100,319.216500,0.557917,sdB,,,,27900,800,5.78,0.15,-3.90,0.70,Geier15,0.0743,0.0029,0.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
GALEX,J21171-7001,21:17:09.36,-70:01:03.25,21.285933,319.289000,-70.017569,He-sdO,,,13.9,,,,,,,,0.0379,0.0012,0.118,12.464,0.004,13.431,0.003,14.220,0.420,13.950,0.300,,,14.200,0.430,,,14.039,0.034,13.842,0.036,13.865,0.042,14.286,0.069,14.603,0.062,,,,,,,,,,,,,,,,,,,,,14.437,0.038,14.408,0.059,14.282,0.073,,,,,,,,,,,,,,,,,,,14.274,0.033,14.337,0.065,11.983,,8.943,,,,,,27.9,1.5,-5.2,1.5,47.1,8.9,-12.9,8.9,40.0,7.0,-24.0,2.0,39.2,2.5,-3.8,3.9,,,,,27.2,1.1,-9.6,1.2,const,not covered,,,,,,,,,,,,,,,,
BPS,CS30492-125,21:17:12.37,-41:22:11.78,21.286769,319.301542,-41.369939,sdB,,,14.6,,,,,,,,0.0265,0.0003,0.082,13.574,0.010,14.001,0.004,14.790,0.400,14.550,0.250,,,15.020,0.420,,,14.695,0.074,14.485,0.047,14.476,0.038,14.905,0.052,15.237,0.099,,,,,,,,,,,,,,,,,,,,,15.179,0.041,15.467,0.101,15.615,0.200,,,,,,,,,,,,,15.263,0.003,,,15.467,0.013,15.655,0.053,15.841,0.171,12.560,,9.278,,,,,,3.0,1.6,-11.0,14.3,2.6,11.9,-4.9,11.9,,,,,11.8,3.1,-18.7,7.1,,,,,5.8,2.6,-12.7,2.3,const,const,,,,,,,,,,,,,,,,
GALEX,J21174-1353,21:17:27.07,-13:53:58.44,21.290853,319.362792,-13.899567,sdB,,,14.8,,,,,,,,0.0553,0.0031,0.172,14.064,0.009,14.109,0.006,15.120,0.400,14.910,0.260,,,15.390,0.410,14.620,0.420,15.035,0.043,14.871,0.029,14.825,0.029,15.231,0.064,15.286,,14.553,0.004,14.758,0.003,15.231,0.003,15.579,0.004,15.864,0.007,,,,,,,,,,,15.641,0.064,15.748,0.156,15.653,,,,,,,,,,,,15.536,0.005,15.674,0.006,,,15.875,0.029,16.150,0.083,16.289,0.321,11.982,,8.451,,5.0,2.0,-17.0,2.0,10.3,3.6,-13.5,2.4,7.3,5.2,-19.3,5.2,,,,,8.3,1.4,-11.5,3.9,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,2115+145,21:18:03.26,14:40:54.54,21.300906,319.513583,14.681817,sdB,,,14.9,,,,,,,,0.0597,0.0016,0.185,14.234,0.012,14.612,0.009,15.220,0.420,14.980,0.410,14.960,0.380,15.230,0.450,14.650,0.380,15.060,0.061,14.958,0.063,14.922,0.036,15.286,0.094,15.535,0.138,,,,,,,,,,,,,,,,,,,,,15.578,0.066,15.763,0.166,15.589,0.239,,,,,,,,,,,,,,,,,,,15.723,0.056,15.747,0.172,12.890,,9.186,,,,,,10.3,4.6,-5.3,4.6,5.8,4.4,-7.5,4.4,6.0,2.0,-4.0,2.0,,,,,10.0,6.3,-13.1,6.3,,,,,const,too faint,,,,,,,,,,,,,,,,
BPS,CS29506-15,21:18:06.63,-18:37:05.31,21.301842,319.527625,-18.618142,sdB,,,14.8,,,,,,,,0.0327,0.0005,0.101,,,,,14.950,0.160,14.660,0.280,,,15.480,0.430,14.940,0.440,14.945,0.081,14.718,0.021,14.711,0.014,15.231,0.084,15.553,0.216,,,,,,,,,,,,,,,,,,,,,15.499,0.063,15.701,0.165,15.318,,,,,,,,,,,,,,,,,,,,15.921,0.070,16.089,0.296,12.322,,8.838,,,,,,9.4,3.6,-7.9,3.7,5.6,4.7,-3.9,4.7,,,,,7.8,3.1,-3.5,3.3,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,2116+008,21:19:21.37,00:57:50.15,21.322603,319.839042,0.963931,He-sdO,,,15.6,46810,,5.68,,1.37,,Nemethprep,0.0706,0.0034,0.219,14.329,0.008,14.865,0.006,15.730,0.230,15.690,0.180,16.070,0.280,16.030,0.280,15.490,0.160,15.809,0.020,15.678,0.036,15.651,0.043,16.088,0.113,16.058,,15.136,0.005,15.506,0.004,15.993,0.005,16.325,0.005,16.631,0.009,,,,,,,,,,,16.327,0.096,16.525,0.266,15.889,0.265,16.350,0.009,16.442,0.015,16.455,0.030,16.576,0.052,,,,,16.407,0.009,16.563,0.021,16.607,0.036,,,,,,,,,-1.0,2.0,-2.0,2.0,-12.4,19.0,5.8,14.3,4.9,4.9,7.1,4.9,,,,,-4.6,0.9,-0.7,1.9,-36.4,6.8,-97.7,6.8,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,211924.56-004955.5,21:19:24.56,-00:49:55.5,21.323489,319.852333,0.832083,sdOB,,,,38190,,5.79,,-1.19,,Nemethprep,0.0721,0.0007,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ9/10,211926.83+061718.4,21:19:26.83,06:17:18.4,21.324119,319.861792,6.288444,sdOB,,,18.5,35710,,5.35,,-1.89,,Nemethprep,0.0627,0.0018,0.194,17.518,0.039,17.637,0.019,18.970,0.410,18.620,0.410,18.700,0.340,,,18.420,0.410,,,,,,,,,,,18.151,0.014,18.409,0.007,18.859,0.010,19.183,0.015,19.398,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,-5.0,3.0,,,,,7.1,5.2,-6.1,5.2,,,,,0.8,3.5,2.7,5.6,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
BPS,CS22937-84,21:19:29.51,-40:31:06.99,21.324864,319.872958,-40.518608,sdB,,,14.7,,,,,,,,0.0325,0.0007,0.101,,,,,14.810,0.310,14.700,0.200,,,14.880,0.340,,,14.755,0.031,14.726,0.041,14.639,0.010,14.950,0.006,,,,,,,,,,,,,,,,,,,,,,,14.953,0.035,15.009,0.063,15.090,0.116,,,,,,,,,,,,,14.904,0.003,,,14.979,0.010,14.997,0.037,15.215,0.097,12.969,,8.893,,,,,,0.5,2.1,-22.2,2.8,-1.3,10.4,-24.2,10.4,-16.0,2.0,-16.0,6.0,0.2,0.3,-22.2,7.2,,,,,2.9,3.2,-26.6,2.8,const,const,,,,,,,,,,,,,,,,
GALEX,J21199-1645,21:19:54.60,-16:45:25.21,21.331833,319.977500,-16.757003,sdB+MS,,,13.8,,,,,,,,0.0663,0.0013,0.206,13.650,0.007,13.928,0.005,13.460,0.420,13.930,0.280,,,13.240,0.430,14.130,0.430,13.581,0.056,13.863,0.031,13.690,0.017,13.559,0.049,13.590,0.090,,,,,,,,,,,,,,,,,,,,,12.843,0.024,12.656,0.030,12.609,0.032,,,,,,,,,,,,,,,,,,,12.565,0.024,12.592,0.028,12.317,,9.106,,,,,,11.3,1.3,-5.5,1.5,11.6,4.1,-6.2,4.1,10.0,2.0,,3.0,16.8,1.8,-7.0,4.4,,,,,,,,,const,not covered,,,,,,,,,,,,,,,,
SDSSJ9/10,212014.32+003756.2,21:20:14.32,00:37:56.2,21.337311,320.059667,0.632278,sdB,,,16.3,31840,,5.60,,-2.60,,Nemethprep,0.0738,0.0007,0.229,16.067,0.018,16.251,0.011,15.170,0.250,16.440,0.210,15.790,0.220,15.480,0.290,16.190,0.200,,,,,,,,,,,16.558,0.007,16.700,0.004,17.129,0.005,17.611,0.007,17.889,0.018,,,,,,,,,,,16.630,0.199,15.536,,15.011,,17.378,0.021,17.437,0.032,17.509,0.074,,,,,,,17.315,0.018,17.446,0.045,17.466,0.077,,,,,,,,,-69.0,3.0,-15.0,3.0,,,,,-68.9,5.2,-13.8,5.2,-56.0,12.0,-16.0,3.0,40.0,19.5,13.2,4.0,-35.3,6.9,-15.8,6.9,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,212022.64-002407.9,21:20:22.64,-00:24:07.9,21.339622,320.094333,0.402194,sdB,,,,29990,,5.46,,-2.55,0.00,Nemethprep,0.0659,0.0019,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
KPD,2118+3841,21:20:42.02,38:53:53.41,21.345006,320.175083,38.898169,sdB,,,13.9,,,,,,,,0.2208,0.0022,0.684,,,14.631,0.011,14.250,0.420,13.810,0.430,,,14.120,0.450,,,13.942,0.069,14.008,0.245,13.682,,14.087,0.031,14.399,0.093,,,,,,,,,,,,,,,,,,,,,14.314,0.034,14.383,0.043,14.475,0.089,,,,,,,,,,,,,,,,,,,14.708,0.036,15.334,0.120,12.729,,9.149,,,,,,4.7,3.3,-8.8,3.6,0.8,3.8,-6.2,3.8,4.0,2.0,-10.0,1.0,,,,,7.9,5.9,-13.7,5.9,,,,,not covered,var irregular,,,,,,,,,,,,,,,,
SDSSJ9/10,212044.05+045318.2,21:20:44.05,04:53:18.2,21.345569,320.183542,4.888389,sdB,,,18.1,33260,,5.44,,-2.17,,Nemethprep,0.1039,0.0032,0.322,17.523,0.026,17.747,0.019,18.490,0.420,18.350,0.430,18.330,0.360,18.460,0.470,17.930,0.430,,,,,,,,,,,17.939,0.013,18.082,0.006,18.478,0.008,18.756,0.012,19.081,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,3.0,-4.0,3.0,,,,,-2.4,5.2,-3.8,5.2,,,,,-4.4,3.6,2.8,1.6,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,212053.72-071544.1,21:20:53.72,-07:15:44.1,21.348256,320.223833,-7.262250,sdOB,,,17.9,,,,,,,,0.2412,0.0186,0.748,18.769,0.124,18.816,0.040,17.600,0.440,17.890,0.320,,,17.540,0.450,17.820,0.550,,,,,,,,,,,18.025,0.013,17.810,0.006,17.719,0.006,17.627,0.007,17.582,0.019,,,,,,,,,,,16.778,0.148,16.128,0.184,15.694,,,,,,,,,,,,16.890,0.015,16.675,0.016,16.332,0.027,16.099,0.035,16.122,0.085,16.252,0.298,11.188,0.145,9.059,,6.0,3.0,-15.0,3.0,,,,,2.3,5.0,-17.9,5.0,4.0,5.0,-18.0,3.0,6.7,2.3,-13.3,0.8,42.9,9.4,-33.1,9.4,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,212055.95-063918.3,21:20:55.95,-06:39:18.3,21.348875,320.233125,-6.655083,sdOB,,,16.0,,,,,,,,0.1891,0.0074,0.586,16.039,0.034,16.140,0.011,15.820,0.430,16.030,0.300,,,16.190,0.440,16.270,0.550,15.966,,16.015,0.044,15.958,,16.141,,15.991,,15.825,0.006,15.830,0.004,16.078,0.005,16.292,0.006,16.499,0.009,,,,,,,,,,,16.074,0.075,16.264,0.179,16.370,,,,,,,,,,,,16.103,0.008,16.162,0.011,16.241,0.025,16.347,0.042,16.633,0.119,16.282,,12.649,0.503,8.667,,3.0,3.0,6.0,3.0,5.4,4.3,1.1,5.0,4.5,5.7,0.7,5.7,,,,,-2.5,3.9,0.0,1.6,4.5,7.0,-6.8,7.0,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,2118+126,21:21:02.29,12:50:50.52,21.350636,320.259542,12.847367,sdB,,,13.6,,,,,,,,0.0792,0.0055,0.246,13.090,0.007,14.033,0.007,13.240,0.420,13.540,0.410,13.310,0.310,13.130,0.450,13.770,0.220,13.609,0.044,13.756,0.032,13.625,0.037,13.634,0.199,13.622,0.249,13.677,0.003,13.554,0.003,13.548,0.003,13.579,0.003,13.660,0.004,,,,,,,,,,,13.025,0.022,12.816,0.027,12.790,0.025,,,,,,,,,,,,,,,,,,,12.623,0.025,12.645,0.028,12.504,0.446,9.090,,-3.0,3.0,-13.0,3.0,0.9,1.5,-1.3,1.5,2.9,1.0,-0.3,1.0,,,,,,,,,-8.3,5.5,-0.1,5.5,,,,,const,not covered,,,,,,,,,,,,,,,,
BPS,CS22937-82,21:21:39.43,-40:13:36.27,21.360953,320.414292,-40.226742,sdB,,,14.6,,,,,,,,0.0398,0.0008,0.123,13.679,0.006,14.045,0.004,14.810,0.300,14.570,0.190,,,14.960,0.330,,,14.681,0.030,14.508,0.026,14.507,0.012,14.914,0.021,15.175,0.021,,,,,,,,,,,,,,,,,,,,,15.290,0.052,15.389,0.091,15.544,0.184,,,,,,,,,,,,,15.223,0.003,,,15.422,0.014,15.579,0.052,15.570,0.143,12.521,,9.021,,,,,,-8.0,1.8,0.8,2.2,-5.4,11.7,-1.5,11.7,-16.0,2.0,6.0,4.0,4.5,9.8,-1.8,7.7,,,,,-7.2,3.1,-2.6,2.8,const,const,,,,,,,,,,,,,,,,
SDSSJ9/10,212232.68+000426.6,21:22:32.68,00:04:26.6,21.375744,320.636167,0.074056,sdOB,,,17.1,38040,,5.79,,-0.11,,Nemethprep,0.0533,0.0038,0.165,16.295,0.012,16.402,0.009,17.440,0.340,17.230,0.340,,,17.720,0.350,16.980,0.320,,,,,,,,,,,16.955,0.008,17.251,0.005,17.742,0.007,18.074,0.009,18.415,0.028,,,,,,,,,,,,,,,,,18.098,0.040,18.164,0.075,18.528,0.149,18.199,0.187,,,,,18.204,0.042,18.288,0.110,18.331,0.178,,,,,,,,,4.0,3.0,-20.0,3.0,,,,,2.9,5.6,-20.7,5.6,,3.0,-14.0,3.0,5.2,1.0,-13.8,1.5,,,,,,,,,var irregular strong CV?,too faint,,,,,,,,,,,,,,,,
GALEX,J21226+0558,21:22:40.39,05:58:08.81,21.377886,320.668292,5.969114,sdB,,,14.1,23340,310,5.13,0.05,-2.15,0.14,Nemeth12,0.0611,0.0028,0.189,13.574,0.005,14.022,0.003,14.010,0.410,13.920,0.420,14.070,0.280,13.910,0.410,13.690,0.420,13.870,0.064,13.826,0.104,13.745,0.065,14.024,0.094,14.285,0.112,14.825,0.009,14.859,0.010,14.083,0.002,15.253,0.009,15.308,0.009,,,,,,,,,,,14.197,0.030,14.169,0.047,14.285,0.069,,,,,,,,,,,,,,,,,,,14.334,0.032,14.472,0.065,12.711,,8.482,,-3.0,2.0,-3.0,2.0,0.2,2.3,-7.3,4.3,-5.2,3.8,-6.6,3.8,,,,,-3.6,2.3,-4.8,1.0,,,,,,,,,const,not covered,,,,,,,,,,,,,,,,
SDSSJ,212244.84-065100.0,21:22:44.84,-06:51:00.0,21.379122,320.686833,-6.850000,sdOB,,,17.0,,,,,,,,0.2285,0.0133,0.708,17.692,0.070,17.686,0.018,17.240,0.440,16.570,0.310,,,17.530,0.450,16.780,0.550,,,,,,,,,,,17.258,0.009,17.240,0.005,17.442,0.006,17.631,0.007,17.886,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,17.421,0.023,17.486,0.034,17.516,0.084,17.675,0.147,15.905,0.071,16.117,0.259,11.587,0.214,8.732,,0.0,0.0,0.0,0.0,,,,,15.9,6.5,4.8,6.5,,,,,-34.8,7.7,-26.9,3.6,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ9/10,212300.31+043453.0,21:23:00.31,04:34:53.0,21.383419,320.751292,4.581389,sdOB,,,18.9,36110,,5.59,,-1.30,,Nemethprep,0.0798,0.0021,0.247,18.118,0.038,18.364,0.026,19.370,0.430,18.960,0.430,,,,,18.870,0.430,,,,,,,,,,,18.709,0.018,18.951,0.009,19.377,0.013,19.656,0.019,20.019,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.0,-3.0,3.0,,,,,6.0,5.8,-7.7,5.8,,,,,9.2,3.0,1.5,1.9,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,212304.90-070722.8,21:23:04.90,-07:07:22.8,21.384694,320.770417,-7.123000,sdB,,,17.2,,,,,,,,0.1407,0.0059,0.436,18.177,0.083,17.966,0.025,17.220,0.440,17.210,0.320,,,17.210,0.450,17.160,0.550,,,,,,,,,,,17.453,0.011,17.092,0.005,17.301,0.006,17.463,0.007,17.588,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,17.177,0.028,,,,,17.390,0.156,,,,,,,,,3.0,3.0,-2.0,3.0,,,,,2.6,6.6,-4.8,6.6,,,,,2.9,1.3,-1.0,2.5,,,,,,,,,var irregular strong CV?,too faint,,,,,,,,,,,,,,,,
HS,2126+8320,21:23:26.14,83:33:50.87,21.390594,320.858917,83.564131,sdB,,,13.8,28100,700,5.40,0.20,-3.00,0.20,Edelmann03,0.0955,0.0056,0.296,13.475,0.007,13.900,0.005,14.000,0.380,,,13.950,0.340,14.100,0.390,13.700,0.370,14.115,0.057,13.778,0.091,13.541,0.080,14.134,0.038,14.380,0.010,,,,,,,,,,,,,,,,,,,,,14.461,0.047,14.459,0.067,14.649,0.103,,,,,,,,,,,,,,,,,,,14.524,0.031,14.569,0.050,13.116,,9.046,,,,,,29.6,3.0,25.2,3.7,40.8,2.5,19.1,2.5,48.0,4.0,4.0,4.0,,,,,33.0,5.8,11.6,5.8,,,,,not covered,not covered,,,,,,,,,,,,,,,,
